iter	Logloss	Accuracy
0	0.6739988153	0.8083832335
1	0.658901298	0.8053892216
2	0.6421502329	0.8293413174
3	0.6297275936	0.8203592814
4	0.6147184481	0.8308383234
5	0.6017730091	0.8293413174
6	0.588530858	0.8383233533
7	0.5783200316	0.8353293413
8	0.5665894651	0.8293413174
9	0.5575381153	0.8293413174
10	0.5491044966	0.8308383234
11	0.5423887152	0.8338323353
12	0.5354629406	0.8323353293
13	0.5283279488	0.8278443114
14	0.5217500657	0.8278443114
15	0.5157272476	0.8248502994
16	0.5089750124	0.8248502994
17	0.5032450866	0.8263473054
18	0.4970473099	0.8248502994
19	0.4921670284	0.8233532934
20	0.4874681132	0.8233532934
21	0.4846682935	0.8233532934
22	0.4800380917	0.8203592814
23	0.4752794238	0.8233532934
24	0.4716137142	0.8263473054
25	0.4688795262	0.8248502994
26	0.4646352332	0.8248502994
27	0.4622311315	0.8248502994
28	0.4584012853	0.8248502994
29	0.4535303567	0.8278443114
30	0.4507849239	0.8278443114
31	0.4497373858	0.8308383234
32	0.4480931231	0.8353293413
33	0.4446326156	0.8353293413
34	0.4425685369	0.8323353293
35	0.4410079647	0.8368263473
36	0.4385622868	0.8368263473
37	0.4363623632	0.8353293413
38	0.4346194705	0.8368263473
39	0.4331799903	0.8368263473
40	0.4304897428	0.8353293413
41	0.4283414782	0.8368263473
42	0.4265080448	0.8368263473
43	0.4255831303	0.8323353293
44	0.4252894749	0.8308383234
45	0.4232906533	0.8308383234
46	0.4219784535	0.8308383234
47	0.420393984	0.8308383234
48	0.4194225072	0.8293413174
49	0.4179930292	0.8293413174
50	0.4167287161	0.8293413174
51	0.4155112345	0.8293413174
52	0.4145264333	0.8323353293
53	0.4129347692	0.8308383234
54	0.4113961848	0.8338323353
55	0.4097376576	0.8338323353
56	0.408838041	0.8353293413
57	0.4069747539	0.8353293413
58	0.4051130873	0.8353293413
59	0.4047833055	0.8353293413
60	0.4037233247	0.8368263473
61	0.402034606	0.8383233533
62	0.3996694744	0.8383233533
63	0.3985631714	0.8398203593
64	0.3975079492	0.8428143713
65	0.3968875706	0.8413173653
66	0.3962620472	0.8428143713
67	0.3956377643	0.8428143713
68	0.3938460376	0.8443113772
69	0.3928598838	0.8458083832
70	0.3926053824	0.8443113772
71	0.3913051104	0.8443113772
72	0.3909012147	0.8443113772
73	0.3907597724	0.8443113772
74	0.3903216335	0.8443113772
75	0.3888746245	0.8458083832
76	0.388487543	0.8458083832
77	0.3867381353	0.8458083832
78	0.3858845416	0.8473053892
79	0.3849722949	0.8488023952
80	0.3832012803	0.8473053892
81	0.3820907769	0.8488023952
82	0.3811521625	0.8488023952
83	0.3802925079	0.8502994012
84	0.3793771363	0.8488023952
85	0.3792169171	0.8488023952
86	0.3782712108	0.8502994012
87	0.3774515183	0.8502994012
88	0.3769812439	0.8502994012
89	0.3764735645	0.8502994012
90	0.3754114812	0.8502994012
91	0.374714414	0.8502994012
92	0.3745579611	0.8502994012
93	0.3742688906	0.8502994012
94	0.3738527697	0.8502994012
95	0.3733778085	0.8502994012
96	0.3728777352	0.8502994012
97	0.3722808337	0.8502994012
98	0.3715319769	0.8502994012
99	0.3713123348	0.8502994012
100	0.3711680967	0.8502994012
101	0.3701463452	0.8502994012
102	0.3696276848	0.8502994012
103	0.368795474	0.8488023952
104	0.3680006001	0.8488023952
105	0.3678459771	0.8488023952
106	0.3672393778	0.8502994012
107	0.3672117213	0.8502994012
108	0.366554577	0.8502994012
109	0.365573918	0.8502994012
110	0.3654657359	0.8502994012
111	0.3646548501	0.8502994012
112	0.363467437	0.8502994012
113	0.363006476	0.8502994012
114	0.3624457535	0.8517964072
115	0.3616971793	0.8532934132
116	0.3615270989	0.8532934132
117	0.3614277494	0.8532934132
118	0.3603143525	0.8532934132
119	0.3599630077	0.8517964072
120	0.3592807155	0.8517964072
121	0.3587750858	0.8517964072
122	0.3583614208	0.8532934132
123	0.3580263649	0.8562874251
124	0.3574388065	0.8577844311
125	0.3567529777	0.8562874251
126	0.3561014505	0.8562874251
127	0.3558349448	0.8577844311
128	0.355834804	0.8577844311
129	0.3552631941	0.8592814371
130	0.3551325184	0.8592814371
131	0.3549290851	0.8577844311
132	0.3541759687	0.8577844311
133	0.354102444	0.8577844311
134	0.3540080156	0.8577844311
135	0.3534041117	0.8592814371
136	0.3531427252	0.8577844311
137	0.3526642267	0.8577844311
138	0.3517461097	0.8607784431
139	0.3510655338	0.8622754491
140	0.3508675421	0.8622754491
141	0.3499321249	0.8622754491
142	0.3498985411	0.8622754491
143	0.3492545059	0.8637724551
144	0.3489517879	0.8637724551
145	0.3485264911	0.8637724551
146	0.3481955059	0.8637724551
147	0.3472828648	0.8637724551
148	0.346177192	0.871257485
149	0.3456411678	0.871257485
150	0.3448944504	0.871257485
151	0.3445741981	0.871257485
152	0.3443865473	0.869760479
153	0.3439866532	0.869760479
154	0.3437704513	0.869760479
155	0.3433918053	0.8682634731
156	0.3430506039	0.8682634731
157	0.3425826845	0.8682634731
158	0.3425423613	0.8682634731
159	0.3420207399	0.8682634731
160	0.341913758	0.8682634731
161	0.3414931188	0.8682634731
162	0.3408225136	0.8682634731
163	0.3406299975	0.871257485
164	0.3406299972	0.871257485
165	0.340174645	0.869760479
166	0.3395948622	0.871257485
167	0.3395948619	0.871257485
168	0.3391893501	0.869760479
169	0.3391193125	0.871257485
170	0.3384839535	0.871257485
171	0.3383552902	0.871257485
172	0.337937857	0.871257485
173	0.3372661441	0.871257485
174	0.3369315313	0.871257485
175	0.3366365614	0.871257485
176	0.3361742868	0.874251497
177	0.3360777878	0.874251497
178	0.3355855301	0.872754491
179	0.3354022626	0.874251497
180	0.3352006786	0.875748503
181	0.3344942402	0.874251497
182	0.3340321327	0.875748503
183	0.3333556166	0.878742515
184	0.3330068314	0.878742515
185	0.3329831725	0.878742515
186	0.3323022642	0.880239521
187	0.3322698512	0.878742515
188	0.3314342691	0.880239521
189	0.3312887637	0.878742515
190	0.3309873827	0.878742515
191	0.3307796409	0.878742515
192	0.3306577501	0.878742515
193	0.3299342002	0.880239521
194	0.3291372887	0.8817365269
195	0.3285707111	0.8817365269
196	0.3282817519	0.8817365269
197	0.3273961657	0.8847305389
198	0.3272149609	0.8847305389
199	0.3266134302	0.8847305389
200	0.3265758623	0.8847305389
201	0.3261540174	0.8847305389
202	0.326153872	0.8847305389
203	0.3256543208	0.8862275449
204	0.325501423	0.8862275449
205	0.3254665102	0.8862275449
206	0.3251493604	0.8862275449
207	0.3251058653	0.8862275449
208	0.3247632378	0.8862275449
209	0.3245386964	0.8877245509
210	0.3237341306	0.8907185629
211	0.3233256176	0.8892215569
212	0.3232957974	0.8892215569
213	0.3229699174	0.8892215569
214	0.3225119461	0.8892215569
215	0.3217883069	0.8877245509
216	0.3211591279	0.8922155689
217	0.3201618836	0.8922155689
218	0.3197641709	0.8922155689
219	0.319620635	0.8922155689
220	0.3196179255	0.8922155689
221	0.3194516145	0.8922155689
222	0.3194492804	0.8922155689
223	0.3194209388	0.8922155689
224	0.3191670579	0.8892215569
225	0.3186720426	0.8892215569
226	0.3180586061	0.8892215569
227	0.3172180378	0.8937125749
228	0.3166533952	0.8937125749
229	0.3166428161	0.8937125749
230	0.3165594596	0.8937125749
231	0.316535347	0.8937125749
232	0.3160546773	0.8937125749
233	0.3158872207	0.8937125749
234	0.3155405295	0.8937125749
235	0.315142136	0.8937125749
236	0.314801715	0.8952095808
237	0.3145568856	0.8952095808
